电影名,主演,上映时间,评分,图片URL,本地图片路径
熔炉,"孔刘,郑裕美,金智英",2011-09-22(韩国),8.8,https://p0.pipi.cn/mmdb/d2dad592b122ff7a357df5d2476a1d41663e0.jpg?imageView2/1/w/160/h/220,maoyan_data\images\熔炉.jpg
天堂电影院,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",2021-06-11,9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e12c95e5bc932c06e07c8fb88.jpg?imageView2/1/w/160/h/220,maoyan_data\images\天堂电影院.jpg
龙猫,"秦岚,糸井重里,岛本须美",2018-12-14,9.2,https://p0.pipi.cn/mmdb/d2dad592c7e7e17a3557e2d019edaa30f2b78.jpg?imageView2/1/w/160/h/220,maoyan_data\images\龙猫.jpg
疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",2016-03-04,9.5,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa334b74946e3e327bd6d63bb319619f5a24.jpg?imageView2/1/w/160/h/220,maoyan_data\images\疯狂动物城.jpg
头号玩家,"泰伊·谢里丹,奥利维亚·库克,本·门德尔松",2018-03-30,9.0,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3349a9a1ea4801480147b8b5e812a5f4cb.png?imageView2/1/w/160/h/220,maoyan_data\images\头号玩家.jpg
闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国),8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e1cf3e339ef30f12d5ee7b26d.jpg?imageView2/1/w/160/h/220,maoyan_data\images\闻香识女人.jpg
被嫌弃的松子的一生,"中谷美纪,永山瑛太,伊势谷友介",2006-05-27(日本),8.5,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3346e051ea48dd415d5759ffb2992bb5d4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\被嫌弃的松子的一生.jpg
一一,"吴文钦,金燕玲,李凯莉",2017-07-28(中国台湾),8.9,https://p0.pipi.cn/mediaplus/bigdata_crawler_media/0fa334bf0513cb4a18392a9b113b8683965b0.jpg?imageView2/1/w/160/h/220,maoyan_data\images\一一.jpg
末代皇帝,"尊龙,彼得·奥图尔,陈冲",1987-10-04(日本),8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e157e2395b12a043e8aba9dd4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\末代皇帝.jpg
超脱,"阿德里安·布劳迪,马西娅·盖伊·哈登,詹姆斯·凯恩",2011-04-25(美国),8.7,https://p0.pipi.cn/mmdb/d2dad592b122ff030cecd8d73ffdbf3dd00a6.jpg?imageView2/1/w/160/h/220,maoyan_data\images\超脱.jpg
心灵奇旅,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",2020-12-25,9.2,https://p0.pipi.cn/mmdb/d2dad59206dc69e19b7e12d3d395c0b36f1a9.jpg?imageView2/1/w/160/h/220,maoyan_data\images\心灵奇旅.jpg
海蒂和爷爷,"阿努克·斯特芬 ,布鲁诺·冈茨,昆林·艾格匹",2019-05-16,9.5,https://p0.pipi.cn/mmdb/d2dad5927e10fabe1207ac9a7ae044e219c42.jpg?imageView2/1/w/160/h/220,maoyan_data\images\海蒂和爷爷.jpg
机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国),9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e18ea367cbf41b1c2d9ec19bf.jpg?imageView2/1/w/160/h/220,maoyan_data\images\机器人总动员.jpg
西西里的美丽传说,"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",2000-10-26 00:00:00(意大利),8.2,https://p0.pipi.cn/basicdata/54ecde2fe7abe10faff2aa7c87de2ecc6b133.jpg?imageView2/1/w/160/h/220,maoyan_data\images\西西里的美丽传说.jpg
三块广告牌,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",2018-03-02,8.6,https://p0.pipi.cn/mmdb/d2dad5927e10fac7edf0ee42a9d44a4e0fc97.jpg?imageView2/1/w/160/h/220,maoyan_data\images\三块广告牌.jpg
